,date,county,state,fips,cases,deaths
3043,2020-03-16,Tompkins,New York,36109.0,1,0
3044,2020-03-16,Ulster,New York,36111.0,7,0
3045,2020-03-16,Westchester,New York,36119.0,219,0
3537,2020-03-17,Albany,New York,36001.0,23,0
3538,2020-03-17,Allegany,New York,36003.0,2,0
3539,2020-03-17,Broome,New York,36007.0,1,0
3540,2020-03-17,Clinton,New York,36019.0,1,0
3541,2020-03-17,Delaware,New York,36025.0,1,0
3542,2020-03-17,Dutchess,New York,36027.0,16,0
3543,2020-03-17,Erie,New York,36029.0,7,0
3544,2020-03-17,Greene,New York,36039.0,2,0
3545,2020-03-17,Herkimer,New York,36043.0,1,0
3546,2020-03-17,Monroe,New York,36055.0,11,0
3547,2020-03-17,Montgomery,New York,36057.0,1,0
3548,2020-03-17,Nassau,New York,36059.0,131,2
3549,2020-03-17,New York City,New York,,645,10
3550,2020-03-17,Onondaga,New York,36067.0,2,0
3551,2020-03-17,Ontario,New York,36069.0,1,0
3552,2020-03-17,Orange,New York,36071.0,15,0
3553,2020-03-17,Putnam,New York,36079.0,2,0
3554,2020-03-17,Rensselaer,New York,36083.0,1,0
3555,2020-03-17,Rockland,New York,36087.0,22,2
3556,2020-03-17,Saratoga,New York,36091.0,9,0
3557,2020-03-17,Schenectady,New York,36093.0,5,0
3558,2020-03-17,Suffolk,New York,36103.0,84,3
3559,2020-03-17,Sullivan,New York,36105.0,1,0
3560,2020-03-17,Tioga,New York,36107.0,1,0
3561,2020-03-17,Tompkins,New York,36109.0,1,0
3562,2020-03-17,Ulster,New York,36111.0,8,0
3563,2020-03-17,Westchester,New York,36119.0,379,0
3564,2020-03-17,Wyoming,New York,36121.0,1,0
4133,2020-03-18,Albany,New York,36001.0,36,0
4134,2020-03-18,Allegany,New York,36003.0,2,0
4135,2020-03-18,Broome,New York,36007.0,2,0
4136,2020-03-18,Chenango,New York,36017.0,1,0
4137,2020-03-18,Clinton,New York,36019.0,1,0
4138,2020-03-18,Delaware,New York,36025.0,1,0
4139,2020-03-18,Dutchess,New York,36027.0,20,0
4140,2020-03-18,Erie,New York,36029.0,7,0
4141,2020-03-18,Essex,New York,36031.0,1,0
4142,2020-03-18,Greene,New York,36039.0,2,0
4143,2020-03-18,Hamilton,New York,36041.0,1,0
4144,2020-03-18,Herkimer,New York,36043.0,1,0
4145,2020-03-18,Jefferson,New York,36045.0,1,0
4146,2020-03-18,Livingston,New York,36051.0,1,0
4147,2020-03-18,Monroe,New York,36055.0,14,0
4148,2020-03-18,Montgomery,New York,36057.0,1,0
4149,2020-03-18,Nassau,New York,36059.0,183,2
4150,2020-03-18,New York City,New York,,1339,20
4151,2020-03-18,Onondaga,New York,36067.0,2,0
4152,2020-03-18,Ontario,New York,36069.0,1,0
4153,2020-03-18,Orange,New York,36071.0,32,0
4154,2020-03-18,Putnam,New York,36079.0,2,0
4155,2020-03-18,Rensselaer,New York,36083.0,4,0
4156,2020-03-18,Rockland,New York,36087.0,30,2
4157,2020-03-18,Saratoga,New York,36091.0,14,0
4158,2020-03-18,Schenectady,New York,36093.0,14,0
4159,2020-03-18,Suffolk,New York,36103.0,116,3
4160,2020-03-18,Sullivan,New York,36105.0,1,0
4161,2020-03-18,Tioga,New York,36107.0,1,0
4162,2020-03-18,Tompkins,New York,36109.0,2,0
4163,2020-03-18,Ulster,New York,36111.0,9,0
4164,2020-03-18,Warren,New York,36113.0,1,0
4165,2020-03-18,Washington,New York,36115.0,1,0
4166,2020-03-18,Westchester,New York,36119.0,537,0
4167,2020-03-18,Wyoming,New York,36121.0,1,0
4862,2020-03-19,Albany,New York,36001.0,43,0
4863,2020-03-19,Allegany,New York,36003.0,2,0
4864,2020-03-19,Broome,New York,36007.0,2,0
4865,2020-03-19,Chenango,New York,36017.0,1,0
4866,2020-03-19,Clinton,New York,36019.0,1,0
4867,2020-03-19,Delaware,New York,36025.0,1,0
4868,2020-03-19,Dutchess,New York,36027.0,31,0
4869,2020-03-19,Erie,New York,36029.0,28,0
4870,2020-03-19,Essex,New York,36031.0,1,0
4871,2020-03-19,Greene,New York,36039.0,2,0
4872,2020-03-19,Hamilton,New York,36041.0,1,0
4873,2020-03-19,Herkimer,New York,36043.0,1,0
4874,2020-03-19,Jefferson,New York,36045.0,1,0
4875,2020-03-19,Livingston,New York,36051.0,1,0
4876,2020-03-19,Monroe,New York,36055.0,28,0
4877,2020-03-19,Montgomery,New York,36057.0,1,0
4878,2020-03-19,Nassau,New York,36059.0,382,3
4879,2020-03-19,New York City,New York,,2468,22
4880,2020-03-19,Onondaga,New York,36067.0,2,0
4881,2020-03-19,Ontario,New York,36069.0,1,0
4882,2020-03-19,Orange,New York,36071.0,51,0
4883,2020-03-19,Putnam,New York,36079.0,2,0
4884,2020-03-19,Rensselaer,New York,36083.0,4,0
4885,2020-03-19,Rockland,New York,36087.0,53,2
4886,2020-03-19,Saratoga,New York,36091.0,14,0
4887,2020-03-19,Schenectady,New York,36093.0,21,0
4888,2020-03-19,Schoharie,New York,36095.0,1,0
4889,2020-03-19,Suffolk,New York,36103.0,178,3
4890,2020-03-19,Sullivan,New York,36105.0,8,0
4891,2020-03-19,Tioga,New York,36107.0,1,0
4892,2020-03-19,Tompkins,New York,36109.0,7,0
4893,2020-03-19,Ulster,New York,36111.0,12,0
4894,2020-03-19,Warren,New York,36113.0,1,0
4895,2020-03-19,Washington,New York,36115.0,1,0
4896,2020-03-19,Wayne,New York,36117.0,1,0
4897,2020-03-19,Westchester,New York,36119.0,797,0
4898,2020-03-19,Wyoming,New York,36121.0,2,0
5708,2020-03-20,Albany,New York,36001.0,61,0
5709,2020-03-20,Allegany,New York,36003.0,2,0
5710,2020-03-20,Broome,New York,36007.0,2,0
5711,2020-03-20,Chenango,New York,36017.0,2,0
5712,2020-03-20,Clinton,New York,36019.0,2,0
5713,2020-03-20,Columbia,New York,36021.0,1,0
5714,2020-03-20,Delaware,New York,36025.0,1,0
5715,2020-03-20,Dutchess,New York,36027.0,36,0
5716,2020-03-20,Erie,New York,36029.0,31,0
5717,2020-03-20,Essex,New York,36031.0,1,0
5718,2020-03-20,Fulton,New York,36035.0,1,0
5719,2020-03-20,Genesee,New York,36037.0,1,0
5720,2020-03-20,Greene,New York,36039.0,2,0
5721,2020-03-20,Hamilton,New York,36041.0,2,0
5722,2020-03-20,Herkimer,New York,36043.0,2,0
5723,2020-03-20,Jefferson,New York,36045.0,1,0
5724,2020-03-20,Livingston,New York,36051.0,1,0
5725,2020-03-20,Monroe,New York,36055.0,32,0
5726,2020-03-20,Montgomery,New York,36057.0,2,0
5727,2020-03-20,Nassau,New York,36059.0,754,4
5728,2020-03-20,New York City,New York,,4408,43
5729,2020-03-20,Niagara,New York,36063.0,3,0
5730,2020-03-20,Oneida,New York,36065.0,2,0
5731,2020-03-20,Onondaga,New York,36067.0,8,0
5732,2020-03-20,Ontario,New York,36069.0,3,0
5733,2020-03-20,Orange,New York,36071.0,84,0
5734,2020-03-20,Putnam,New York,36079.0,7,0
5735,2020-03-20,Rensselaer,New York,36083.0,8,0
5736,2020-03-20,Rockland,New York,36087.0,101,3
5737,2020-03-20,Saratoga,New York,36091.0,24,0
5738,2020-03-20,Schenectady,New York,36093.0,21,0
5739,2020-03-20,Schoharie,New York,36095.0,1,0
5740,2020-03-20,Suffolk,New York,36103.0,371,7
5741,2020-03-20,Sullivan,New York,36105.0,8,0
5742,2020-03-20,Tioga,New York,36107.0,1,0
5743,2020-03-20,Tompkins,New York,36109.0,7,0
5744,2020-03-20,Ulster,New York,36111.0,12,0
5745,2020-03-20,Warren,New York,36113.0,1,0
5746,2020-03-20,Washington,New York,36115.0,1,0
5747,2020-03-20,Wayne,New York,36117.0,1,0
5748,2020-03-20,Westchester,New York,36119.0,1091,0
5749,2020-03-20,Wyoming,New York,36121.0,2,0
6702,2020-03-21,Albany,New York,36001.0,88,0
6703,2020-03-21,Allegany,New York,36003.0,2,0
6704,2020-03-21,Broome,New York,36007.0,2,1
6705,2020-03-21,Chenango,New York,36017.0,2,0
6706,2020-03-21,Clinton,New York,36019.0,4,0
6707,2020-03-21,Columbia,New York,36021.0,2,0
6708,2020-03-21,Delaware,New York,36025.0,1,0
6709,2020-03-21,Dutchess,New York,36027.0,49,0
6710,2020-03-21,Erie,New York,36029.0,38,0
6711,2020-03-21,Essex,New York,36031.0,2,0
6712,2020-03-21,Fulton,New York,36035.0,1,0
6713,2020-03-21,Genesee,New York,36037.0,1,0
6714,2020-03-21,Greene,New York,36039.0,2,0
6715,2020-03-21,Hamilton,New York,36041.0,2,0
6716,2020-03-21,Herkimer,New York,36043.0,3,0
6717,2020-03-21,Jefferson,New York,36045.0,1,0
6718,2020-03-21,Livingston,New York,36051.0,2,0
6719,2020-03-21,Monroe,New York,36055.0,42,0
6720,2020-03-21,Montgomery,New York,36057.0,3,0
6721,2020-03-21,Nassau,New York,36059.0,1234,7
6722,2020-03-21,New York City,New York,,6211,60
6723,2020-03-21,Niagara,New York,36063.0,4,0
6724,2020-03-21,Oneida,New York,36065.0,4,0
6725,2020-03-21,Onondaga,New York,36067.0,17,0
6726,2020-03-21,Ontario,New York,36069.0,4,0
6727,2020-03-21,Orange,New York,36071.0,163,0
6728,2020-03-21,Putnam,New York,36079.0,22,0
6729,2020-03-21,Rensselaer,New York,36083.0,20,0
6730,2020-03-21,Rockland,New York,36087.0,262,3
6731,2020-03-21,Saratoga,New York,36091.0,35,0
6732,2020-03-21,Schenectady,New York,36093.0,32,0
6733,2020-03-21,Schoharie,New York,36095.0,1,0
6734,2020-03-21,Steuben,New York,36101.0,2,0
6735,2020-03-21,Suffolk,New York,36103.0,662,9
6736,2020-03-21,Sullivan,New York,36105.0,12,0
6737,2020-03-21,Tioga,New York,36107.0,1,0
6738,2020-03-21,Tompkins,New York,36109.0,11,0
6739,2020-03-21,Ulster,New York,36111.0,18,0
6740,2020-03-21,Warren,New York,36113.0,1,0
6741,2020-03-21,Washington,New York,36115.0,1,0
6742,2020-03-21,Wayne,New York,36117.0,3,0
6743,2020-03-21,Westchester,New York,36119.0,1387,0
6744,2020-03-21,Wyoming,New York,36121.0,2,0
7795,2020-03-22,Albany,New York,36001.0,123,0
7796,2020-03-22,Allegany,New York,36003.0,2,0
7797,2020-03-22,Broome,New York,36007.0,3,1
7798,2020-03-22,Chenango,New York,36017.0,3,0
7799,2020-03-22,Clinton,New York,36019.0,4,0
7800,2020-03-22,Columbia,New York,36021.0,5,0
7801,2020-03-22,Cortland,New York,36023.0,1,0
7802,2020-03-22,Delaware,New York,36025.0,3,0
7803,2020-03-22,Dutchess,New York,36027.0,82,0
7804,2020-03-22,Erie,New York,36029.0,54,0
7805,2020-03-22,Essex,New York,36031.0,3,0
7806,2020-03-22,Fulton,New York,36035.0,1,0
7807,2020-03-22,Genesee,New York,36037.0,1,0
7808,2020-03-22,Greene,New York,36039.0,2,0
7809,2020-03-22,Hamilton,New York,36041.0,2,0
7810,2020-03-22,Herkimer,New York,36043.0,4,0
7811,2020-03-22,Jefferson,New York,36045.0,1,0
7812,2020-03-22,Livingston,New York,36051.0,2,0
7813,2020-03-22,Madison,New York,36053.0,1,0
7814,2020-03-22,Monroe,New York,36055.0,57,0
7815,2020-03-22,Montgomery,New York,36057.0,3,0
7816,2020-03-22,Nassau,New York,36059.0,1900,7
7817,2020-03-22,New York City,New York,,9045,99
7818,2020-03-22,Niagara,New York,36063.0,6,0
7819,2020-03-22,Oneida,New York,36065.0,5,0
7820,2020-03-22,Onondaga,New York,36067.0,29,0
7821,2020-03-22,Ontario,New York,36069.0,6,0
7822,2020-03-22,Orange,New York,36071.0,247,0
7823,2020-03-22,Putnam,New York,36079.0,37,0
7824,2020-03-22,Rensselaer,New York,36083.0,26,0
7825,2020-03-22,Rockland,New York,36087.0,455,3
7826,2020-03-22,Saratoga,New York,36091.0,41,0
7827,2020-03-22,Schenectady,New York,36093.0,39,0
7828,2020-03-22,Schoharie,New York,36095.0,1,0
7829,2020-03-22,St. Lawrence,New York,36089.0,1,0
7830,2020-03-22,Steuben,New York,36101.0,3,0
7831,2020-03-22,Suffolk,New York,36103.0,1034,12
7832,2020-03-22,Sullivan,New York,36105.0,16,0
7833,2020-03-22,Tioga,New York,36107.0,1,0
7834,2020-03-22,Tompkins,New York,36109.0,13,0
7835,2020-03-22,Ulster,New York,36111.0,26,0
7836,2020-03-22,Warren,New York,36113.0,1,0
7837,2020-03-22,Washington,New York,36115.0,1,0
7838,2020-03-22,Wayne,New York,36117.0,3,0
7839,2020-03-22,Westchester,New York,36119.0,1873,0
7840,2020-03-22,Wyoming,New York,36121.0,2,0
8992,2020-03-23,Albany,New York,36001.0,127,0
8993,2020-03-23,Allegany,New York,36003.0,2,0
8994,2020-03-23,Broome,New York,36007.0,7,1
8995,2020-03-23,Cayuga,New York,36011.0,2,0
8996,2020-03-23,Chenango,New York,36017.0,3,0
8997,2020-03-23,Clinton,New York,36019.0,6,0
8998,2020-03-23,Columbia,New York,36021.0,10,0
8999,2020-03-23,Cortland,New York,36023.0,2,0
9000,2020-03-23,Delaware,New York,36025.0,3,0
9001,2020-03-23,Dutchess,New York,36027.0,100,0
9002,2020-03-23,Erie,New York,36029.0,87,0
9003,2020-03-23,Essex,New York,36031.0,3,0
9004,2020-03-23,Fulton,New York,36035.0,1,0
9005,2020-03-23,Genesee,New York,36037.0,1,0
9006,2020-03-23,Greene,New York,36039.0,4,0
9007,2020-03-23,Hamilton,New York,36041.0,2,0
9008,2020-03-23,Herkimer,New York,36043.0,4,0
9009,2020-03-23,Jefferson,New York,36045.0,2,0
9010,2020-03-23,Livingston,New York,36051.0,3,0
9011,2020-03-23,Madison,New York,36053.0,4,0
9012,2020-03-23,Monroe,New York,36055.0,76,0
9013,2020-03-23,Montgomery,New York,36057.0,3,0
9014,2020-03-23,Nassau,New York,36059.0,2442,9
9015,2020-03-23,New York City,New York,,12305,131
9016,2020-03-23,Niagara,New York,36063.0,10,0
9017,2020-03-23,Oneida,New York,36065.0,7,0
9018,2020-03-23,Onondaga,New York,36067.0,52,0
9019,2020-03-23,Ontario,New York,36069.0,6,0
9020,2020-03-23,Orange,New York,36071.0,389,0
9021,2020-03-23,Oswego,New York,36075.0,1,0
9022,2020-03-23,Otsego,New York,36077.0,1,0
9023,2020-03-23,Putnam,New York,36079.0,45,0
9024,2020-03-23,Rensselaer,New York,36083.0,29,0
9025,2020-03-23,Rockland,New York,36087.0,592,5
9026,2020-03-23,Saratoga,New York,36091.0,53,0
9027,2020-03-23,Schenectady,New York,36093.0,44,0
9028,2020-03-23,Schoharie,New York,36095.0,1,0
9029,2020-03-23,St. Lawrence,New York,36089.0,1,0
9030,2020-03-23,Steuben,New York,36101.0,4,0
9031,2020-03-23,Suffolk,New York,36103.0,1458,13
9032,2020-03-23,Sullivan,New York,36105.0,23,0
9033,2020-03-23,Tioga,New York,36107.0,1,0
9034,2020-03-23,Tompkins,New York,36109.0,15,0
9035,2020-03-23,Ulster,New York,36111.0,35,0
9036,2020-03-23,Warren,New York,36113.0,2,0
9037,2020-03-23,Washington,New York,36115.0,3,0
9038,2020-03-23,Wayne,New York,36117.0,6,0
9039,2020-03-23,Westchester,New York,36119.0,2894,0
9040,2020-03-23,Wyoming,New York,36121.0,4,0
10302,2020-03-24,Albany,New York,36001.0,146,0
10303,2020-03-24,Allegany,New York,36003.0,2,0
10304,2020-03-24,Broome,New York,36007.0,9,1
10305,2020-03-24,Cayuga,New York,36011.0,2,0
10306,2020-03-24,Chemung,New York,36015.0,1,0
10307,2020-03-24,Chenango,New York,36017.0,3,0
10308,2020-03-24,Clinton,New York,36019.0,8,0
10309,2020-03-24,Columbia,New York,36021.0,11,0
10310,2020-03-24,Cortland,New York,36023.0,2,0
10311,2020-03-24,Delaware,New York,36025.0,3,0
10312,2020-03-24,Dutchess,New York,36027.0,124,0
10313,2020-03-24,Erie,New York,36029.0,107,0
10314,2020-03-24,Essex,New York,36031.0,3,0
10315,2020-03-24,Fulton,New York,36035.0,1,0
10316,2020-03-24,Genesee,New York,36037.0,1,0
10317,2020-03-24,Greene,New York,36039.0,4,0
10318,2020-03-24,Hamilton,New York,36041.0,2,0
10319,2020-03-24,Herkimer,New York,36043.0,4,0
10320,2020-03-24,Jefferson,New York,36045.0,2,0
10321,2020-03-24,Livingston,New York,36051.0,3,0
10322,2020-03-24,Madison,New York,36053.0,5,0
10323,2020-03-24,Monroe,New York,36055.0,96,0
10324,2020-03-24,Montgomery,New York,36057.0,3,0
10325,2020-03-24,Nassau,New York,36059.0,2869,9
10326,2020-03-24,New York City,New York,,14905,192
10327,2020-03-24,Niagara,New York,36063.0,11,0
10328,2020-03-24,Oneida,New York,36065.0,8,0
10329,2020-03-24,Onondaga,New York,36067.0,60,0
10330,2020-03-24,Ontario,New York,36069.0,7,0
10331,2020-03-24,Orange,New York,36071.0,498,0
10332,2020-03-24,Orleans,New York,36073.0,2,0
10333,2020-03-24,Oswego,New York,36075.0,2,0
10334,2020-03-24,Otsego,New York,36077.0,1,0
10335,2020-03-24,Putnam,New York,36079.0,67,0
10336,2020-03-24,Rensselaer,New York,36083.0,30,0
10337,2020-03-24,Rockland,New York,36087.0,671,5
10338,2020-03-24,Saratoga,New York,36091.0,60,0
10339,2020-03-24,Schenectady,New York,36093.0,46,0
10340,2020-03-24,Schoharie,New York,36095.0,1,0
10341,2020-03-24,St. Lawrence,New York,36089.0,1,0
10342,2020-03-24,Steuben,New York,36101.0,5,0
10343,2020-03-24,Suffolk,New York,36103.0,1880,13
10344,2020-03-24,Sullivan,New York,36105.0,30,0
10345,2020-03-24,Tioga,New York,36107.0,1,0
10346,2020-03-24,Tompkins,New York,36109.0,16,0
10347,2020-03-24,Ulster,New York,36111.0,47,0
10348,2020-03-24,Warren,New York,36113.0,2,0
10349,2020-03-24,Washington,New York,36115.0,3,0
10350,2020-03-24,Wayne,New York,36117.0,6,0
10351,2020-03-24,Westchester,New York,36119.0,3891,6
10352,2020-03-24,Wyoming,New York,36121.0,4,0
11741,2020-03-25,Albany,New York,36001.0,152,0
11742,2020-03-25,Allegany,New York,36003.0,2,0
11743,2020-03-25,Broome,New York,36007.0,11,1
11744,2020-03-25,Cayuga,New York,36011.0,2,0
11745,2020-03-25,Chautauqua,New York,36013.0,1,0
11746,2020-03-25,Chemung,New York,36015.0,1,0
11747,2020-03-25,Chenango,New York,36017.0,3,0
11748,2020-03-25,Clinton,New York,36019.0,10,0
11749,2020-03-25,Columbia,New York,36021.0,12,0
11750,2020-03-25,Cortland,New York,36023.0,2,0
11751,2020-03-25,Delaware,New York,36025.0,5,0
11752,2020-03-25,Dutchess,New York,36027.0,153,0
11753,2020-03-25,Erie,New York,36029.0,122,0
11754,2020-03-25,Essex,New York,36031.0,4,0
11755,2020-03-25,Franklin,New York,36033.0,1,0
11756,2020-03-25,Fulton,New York,36035.0,1,0
11757,2020-03-25,Genesee,New York,36037.0,2,0
11758,2020-03-25,Greene,New York,36039.0,4,0
11759,2020-03-25,Hamilton,New York,36041.0,2,0
11760,2020-03-25,Herkimer,New York,36043.0,5,0
11761,2020-03-25,Jefferson,New York,36045.0,2,0
11762,2020-03-25,Livingston,New York,36051.0,3,0
11763,2020-03-25,Madison,New York,36053.0,7,0
11764,2020-03-25,Monroe,New York,36055.0,118,0
11765,2020-03-25,Montgomery,New York,36057.0,4,0
11766,2020-03-25,Nassau,New York,36059.0,3285,17
11767,2020-03-25,New York City,New York,,20011,280
11768,2020-03-25,Niagara,New York,36063.0,12,0
11769,2020-03-25,Oneida,New York,36065.0,9,0
11770,2020-03-25,Onondaga,New York,36067.0,65,0
11771,2020-03-25,Ontario,New York,36069.0,9,0
11772,2020-03-25,Orange,New York,36071.0,638,0
11773,2020-03-25,Orleans,New York,36073.0,2,0
11774,2020-03-25,Oswego,New York,36075.0,2,0
11775,2020-03-25,Otsego,New York,36077.0,2,0
11776,2020-03-25,Putnam,New York,36079.0,84,0
11777,2020-03-25,Rensselaer,New York,36083.0,31,0
11778,2020-03-25,Rockland,New York,36087.0,1069,7
11779,2020-03-25,Saratoga,New York,36091.0,64,0
11780,2020-03-25,Schenectady,New York,36093.0,55,0
11781,2020-03-25,Schoharie,New York,36095.0,2,0
11782,2020-03-25,St. Lawrence,New York,36089.0,1,0
11783,2020-03-25,Steuben,New York,36101.0,8,0
11784,2020-03-25,Suffolk,New York,36103.0,2260,20
11785,2020-03-25,Sullivan,New York,36105.0,39,0
11786,2020-03-25,Tioga,New York,36107.0,1,0
11787,2020-03-25,Tompkins,New York,36109.0,16,0
11788,2020-03-25,Ulster,New York,36111.0,65,0
11789,2020-03-25,Warren,New York,36113.0,2,0
11790,2020-03-25,Washington,New York,36115.0,4,0
11791,2020-03-25,Wayne,New York,36117.0,7,0
11792,2020-03-25,Westchester,New York,36119.0,4691,6
